cartodb_id,the_geom,count,borough,pickup_year,neighborhood,avg_tip
1,0106000020E61000000100000001030000000100000010000000F59ECA694F7652C0C173EFE1926F444018CDCAF6217652C0145AD6FD636F444028603B18B17652C03E0801F9126E44404B02D4D4B27652C0BB0CFFE9066E4440DDE9CE13CF7652C0779FE3A3C56D444051853FC39B7752C08330B77BB96D4440CD21A985927752C0953D096CCE6D4440C806D2C5A67752C01B84B9DDCB6D4440E63FA4DFBE7752C052448655BC6D444085B2F0F5B57752C012C0CDE2C56E4440A297512CB77752C0D61D8B6D526F444059A48977807752C040D47D00526F444022FDF675E07652C079E57ADB4C6F4440F085C954C17652C0249D8191976F4440957B8159A17652C0A0FEB3E6C76F4440F59ECA694F7652C0C173EFE1926F4440,182,Bronx,2009,Allerton,0.545604395604396
2,0106000020E61000000100000001030000000100000010000000F59ECA694F7652C0C173EFE1926F444018CDCAF6217652C0145AD6FD636F444028603B18B17652C03E0801F9126E44404B02D4D4B27652C0BB0CFFE9066E4440DDE9CE13CF7652C0779FE3A3C56D444051853FC39B7752C08330B77BB96D4440CD21A985927752C0953D096CCE6D4440C806D2C5A67752C01B84B9DDCB6D4440E63FA4DFBE7752C052448655BC6D444085B2F0F5B57752C012C0CDE2C56E4440A297512CB77752C0D61D8B6D526F444059A48977807752C040D47D00526F444022FDF675E07652C079E57ADB4C6F4440F085C954C17652C0249D8191976F4440957B8159A17652C0A0FEB3E6C76F4440F59ECA694F7652C0C173EFE1926F4440,96,Bronx,2012,Allerton,0.538291666666667
3,0106000020E61000000100000001030000000100000010000000F59ECA694F7652C0C173EFE1926F444018CDCAF6217652C0145AD6FD636F444028603B18B17652C03E0801F9126E44404B02D4D4B27652C0BB0CFFE9066E4440DDE9CE13CF7652C0779FE3A3C56D444051853FC39B7752C08330B77BB96D4440CD21A985927752C0953D096CCE6D4440C806D2C5A67752C01B84B9DDCB6D4440E63FA4DFBE7752C052448655BC6D444085B2F0F5B57752C012C0CDE2C56E4440A297512CB77752C0D61D8B6D526F444059A48977807752C040D47D00526F444022FDF675E07652C079E57ADB4C6F4440F085C954C17652C0249D8191976F4440957B8159A17652C0A0FEB3E6C76F4440F59ECA694F7652C0C173EFE1926F4440,100,Bronx,2015,Allerton,0.714123333333334
4,0106000020E61000000100000001030000000100000044000000674293C4926F52C00249D8B7935E4440F3E49A02996F52C03BC8EBC1A45E4440D9EC48F59D6F52C0E25817B7D15E4440070B2769FE6F52C0AC58FCA6B05E4440E22021CA177052C091B1DAFCBF5E4440F530B43A397052C0AF78EA91065F4440E3FA777DE66F52C0526342CC255F4440E21E4B1FBA6F52C0174850FC185F4440268DD13AAA6F52C0FF08C380255F44408FC70C54C66F52C0FF9254A6985F4440643E20D0996F52C04D6A6803B05F4440C07630629F6F52C09BA9108FC45F444095B54DF1B86F52C0513239B5336044405D8AABCABE6F52C03270404B5760444015E46723D76F52C0A5A14621C9604440EA76F695077052C0096CCEC1336144409EB29AAE277052C0810A47904A6144405A10CAFB387052C0CC63CDC820614440B28174B1697052C01899805F23614440994528B6827052C057CF49EF1B61444031D0B52FA07052C065ABCB2901614440E8BE9CD9AE7052C055A2EC2DE5604440CA8B4CC0AF7052C0917D9065C16044407B832F4CA67052C051F01472A5604440774B72C0AE7052C0B4C876BE9F604440355F251FBB7052C0C88E8D40BC60444072C5C551B97052C04A287D21E4604440B0E42A16BF7052C030BB270F0B6144409D5C5320B37052C0094FE8F527614440550E2DB29D7052C00C3CF71E2E6144400F45813E917052C0AC6D8AC74561444087A6ECF4837052C03EE76ED74B614440CFBA46CB817052C0C7073D9B5561444084D6C397897052C02BA5677A896144405AD5928E727052C07AC7293A92614440AC8BDB68007052C025ADF886C261444059147651F46F52C02BFC19DEAC61444008AEF204C26F52C05F605628D26144400135B56CAD6F52C02EC6C03A8E614440101B2C9CA46F52C080F3E2C457614440CBD07822886F52C002D9EBDD1F6144404DA25EF0696F52C0A73D25E7C4604440728C648F506F52C0FB22A12DE76044408A1C226E4E6F52C06D904946CE604440E5B8533A586F52C09F76F86BB260444016F9F5436C6F52C013D1AFAD9F604440B42094F7716F52C03065E08096604440B0E8D66B7A6F52C01FD7868A716044401FBDE13E726F52C07D2079E7506044409A0B5C1E6B6F52C0C18EFF024160444055DE8E705A6F52C0FB1EF5D72B604440F12C4146406F52C0CCB8A981E65F44406405BF0D316F52C00490DAC4C95F444081CD3978266F52C0AC8F87BEBB5F444023F609A0186F52C041F0F8F6AE5F4440F1B8A816116F52C0E8BB5B59A25F444023D923D40C6F52C0F850A2258F5F4440BF47FDF50A6F52C00C0742B2805F4440187959130B6F52C0D34D6210585F44408CA2073E066F52C0B62E35423F5F44408864C8B1F56E52C0BF982D59155F4440994A3FE1EC6E52C0DD26DC2BF35E444011001C7BF66E52C07711A628975E444049F60835436F52C092CF2B9E7A5E444023BE13B35E6F52C0850A0E2F885E4440CC7C073F716F52C0D9E90775915E444069F816D68D6F52C015FF7744855E4440674293C4926F52C00249D8B7935E4440,22,Queens,2012,Alley Pond Park,2.92609090909091
5,0106000020E61000000100000001030000000100000044000000674293C4926F52C00249D8B7935E4440F3E49A02996F52C03BC8EBC1A45E4440D9EC48F59D6F52C0E25817B7D15E4440070B2769FE6F52C0AC58FCA6B05E4440E22021CA177052C091B1DAFCBF5E4440F530B43A397052C0AF78EA91065F4440E3FA777DE66F52C0526342CC255F4440E21E4B1FBA6F52C0174850FC185F4440268DD13AAA6F52C0FF08C380255F44408FC70C54C66F52C0FF9254A6985F4440643E20D0996F52C04D6A6803B05F4440C07630629F6F52C09BA9108FC45F444095B54DF1B86F52C0513239B5336044405D8AABCABE6F52C03270404B5760444015E46723D76F52C0A5A14621C9604440EA76F695077052C0096CCEC1336144409EB29AAE277052C0810A47904A6144405A10CAFB387052C0CC63CDC820614440B28174B1697052C01899805F23614440994528B6827052C057CF49EF1B61444031D0B52FA07052C065ABCB2901614440E8BE9CD9AE7052C055A2EC2DE5604440CA8B4CC0AF7052C0917D9065C16044407B832F4CA67052C051F01472A5604440774B72C0AE7052C0B4C876BE9F604440355F251FBB7052C0C88E8D40BC60444072C5C551B97052C04A287D21E4604440B0E42A16BF7052C030BB270F0B6144409D5C5320B37052C0094FE8F527614440550E2DB29D7052C00C3CF71E2E6144400F45813E917052C0AC6D8AC74561444087A6ECF4837052C03EE76ED74B614440CFBA46CB817052C0C7073D9B5561444084D6C397897052C02BA5677A896144405AD5928E727052C07AC7293A92614440AC8BDB68007052C025ADF886C261444059147651F46F52C02BFC19DEAC61444008AEF204C26F52C05F605628D26144400135B56CAD6F52C02EC6C03A8E614440101B2C9CA46F52C080F3E2C457614440CBD07822886F52C002D9EBDD1F6144404DA25EF0696F52C0A73D25E7C4604440728C648F506F52C0FB22A12DE76044408A1C226E4E6F52C06D904946CE604440E5B8533A586F52C09F76F86BB260444016F9F5436C6F52C013D1AFAD9F604440B42094F7716F52C03065E08096604440B0E8D66B7A6F52C01FD7868A716044401FBDE13E726F52C07D2079E7506044409A0B5C1E6B6F52C0C18EFF024160444055DE8E705A6F52C0FB1EF5D72B604440F12C4146406F52C0CCB8A981E65F44406405BF0D316F52C00490DAC4C95F444081CD3978266F52C0AC8F87BEBB5F444023F609A0186F52C041F0F8F6AE5F4440F1B8A816116F52C0E8BB5B59A25F444023D923D40C6F52C0F850A2258F5F4440BF47FDF50A6F52C00C0742B2805F4440187959130B6F52C0D34D6210585F44408CA2073E066F52C0B62E35423F5F44408864C8B1F56E52C0BF982D59155F4440994A3FE1EC6E52C0DD26DC2BF35E444011001C7BF66E52C07711A628975E444049F60835436F52C092CF2B9E7A5E444023BE13B35E6F52C0850A0E2F885E4440CC7C073F716F52C0D9E90775915E444069F816D68D6F52C015FF7744855E4440674293C4926F52C00249D8B7935E4440,9,Queens,2015,Alley Pond Park,1.83333333333333
6,0106000020E61000000100000001030000000100000044000000674293C4926F52C00249D8B7935E4440F3E49A02996F52C03BC8EBC1A45E4440D9EC48F59D6F52C0E25817B7D15E4440070B2769FE6F52C0AC58FCA6B05E4440E22021CA177052C091B1DAFCBF5E4440F530B43A397052C0AF78EA91065F4440E3FA777DE66F52C0526342CC255F4440E21E4B1FBA6F52C0174850FC185F4440268DD13AAA6F52C0FF08C380255F44408FC70C54C66F52C0FF9254A6985F4440643E20D0996F52C04D6A6803B05F4440C07630629F6F52C09BA9108FC45F444095B54DF1B86F52C0513239B5336044405D8AABCABE6F52C03270404B5760444015E46723D76F52C0A5A14621C9604440EA76F695077052C0096CCEC1336144409EB29AAE277052C0810A47904A6144405A10CAFB387052C0CC63CDC820614440B28174B1697052C01899805F23614440994528B6827052C057CF49EF1B61444031D0B52FA07052C065ABCB2901614440E8BE9CD9AE7052C055A2EC2DE5604440CA8B4CC0AF7052C0917D9065C16044407B832F4CA67052C051F01472A5604440774B72C0AE7052C0B4C876BE9F604440355F251FBB7052C0C88E8D40BC60444072C5C551B97052C04A287D21E4604440B0E42A16BF7052C030BB270F0B6144409D5C5320B37052C0094FE8F527614440550E2DB29D7052C00C3CF71E2E6144400F45813E917052C0AC6D8AC74561444087A6ECF4837052C03EE76ED74B614440CFBA46CB817052C0C7073D9B5561444084D6C397897052C02BA5677A896144405AD5928E727052C07AC7293A92614440AC8BDB68007052C025ADF886C261444059147651F46F52C02BFC19DEAC61444008AEF204C26F52C05F605628D26144400135B56CAD6F52C02EC6C03A8E614440101B2C9CA46F52C080F3E2C457614440CBD07822886F52C002D9EBDD1F6144404DA25EF0696F52C0A73D25E7C4604440728C648F506F52C0FB22A12DE76044408A1C226E4E6F52C06D904946CE604440E5B8533A586F52C09F76F86BB260444016F9F5436C6F52C013D1AFAD9F604440B42094F7716F52C03065E08096604440B0E8D66B7A6F52C01FD7868A716044401FBDE13E726F52C07D2079E7506044409A0B5C1E6B6F52C0C18EFF024160444055DE8E705A6F52C0FB1EF5D72B604440F12C4146406F52C0CCB8A981E65F44406405BF0D316F52C00490DAC4C95F444081CD3978266F52C0AC8F87BEBB5F444023F609A0186F52C041F0F8F6AE5F4440F1B8A816116F52C0E8BB5B59A25F444023D923D40C6F52C0F850A2258F5F4440BF47FDF50A6F52C00C0742B2805F4440187959130B6F52C0D34D6210585F44408CA2073E066F52C0B62E35423F5F44408864C8B1F56E52C0BF982D59155F4440994A3FE1EC6E52C0DD26DC2BF35E444011001C7BF66E52C07711A628975E444049F60835436F52C092CF2B9E7A5E444023BE13B35E6F52C0850A0E2F885E4440CC7C073F716F52C0D9E90775915E444069F816D68D6F52C015FF7744855E4440674293C4926F52C00249D8B7935E4440,44,Queens,2009,Alley Pond Park,0.657386363636364
7,0106000020E6100000010000000103000000010000003200000094BE1072DE8A52C0A7406667D1474440F2C64961DE8A52C08F183DB7D047444022895E46B18A52C07940D9942B464440D07CCEDDAE8A52C06B0DA5F622464440E2016553AE8A52C0191BBAD91F464440240B98C0AD8A52C0200C3CF71E464440777FBC57AD8A52C0C1374D9F1D46444006A1BC8FA38A52C0E658DE550F464440378AAC35948A52C0438CD7BCAA4544408DB3E908E08A52C06C09F9A067454440D90A9A96588B52C0459E245D3345444049641F64598B52C0514CDE003345444096CD1C925A8B52C026E2ADF36F454440CD7344BE4B8B52C06F0C01C0B1454440D42CD0EE908B52C0984D8061F9454440132C0E677E8B52C05706D50627464440498446B0718B52C0AEF545425B464440444C89247A8B52C03F3BE0BA624644406FBBD05CA78B52C0EF586C938A464440E90FCD3CB98B52C06DDA8CD31047444024624A24D18B52C0DFA5D425E34644405E49F25CDF8B52C048111956F146444081D1E5CDE18B52C0166C239EEC464440EE409DF2E88B52C0C7832D76FB464440D07EA4880C8C52C0E25817B7D146444027F73B14058C52C061C5A9D6C2464440A4FB3905F98B52C043C362D4B5464440DE3312A1118C52C084B9DDCB7D464440D3A23EC91D8C52C0895FB1868B46444080EA1F44328C52C0CEA96400A8464440728C648F508C52C0BC033C69E1464440C22FF5F3A68C52C06C94F59B89474440103CBEBD6B8C52C05A626534F247444083143C855C8C52C033A5F5B704484440295E656D538C52C0A2B08BA20748444060217365508C52C036069D103A484440799109F8358C52C0E00F3FFF3D4844403012DA722E8C52C0D38558FD1148444055336B29208C52C0D55B035B2548444001DD9733DB8B52C0A8FE4124434844402CD505BCCC8B52C061F4DC4257484440C1525DC0CB8B52C087A6ECF483484440158DB5BFB38B52C0739F1C0588484440CF488446B08B52C03E07962364484440CC24EA059F8B52C07880272D5C48444026DF6C73638B52C0FF3F4E9830484440DEAAEB504D8B52C01762F547184844409E1D705D318B52C054ABAFAE0A484440565EF23FF98A52C060E5D022DB47444094BE1072DE8A52C0A7406667D1474440,10,Staten Island,2012,Arden Heights,0.462333333333333
8,0106000020E6100000010000000103000000010000003200000094BE1072DE8A52C0A7406667D1474440F2C64961DE8A52C08F183DB7D047444022895E46B18A52C07940D9942B464440D07CCEDDAE8A52C06B0DA5F622464440E2016553AE8A52C0191BBAD91F464440240B98C0AD8A52C0200C3CF71E464440777FBC57AD8A52C0C1374D9F1D46444006A1BC8FA38A52C0E658DE550F464440378AAC35948A52C0438CD7BCAA4544408DB3E908E08A52C06C09F9A067454440D90A9A96588B52C0459E245D3345444049641F64598B52C0514CDE003345444096CD1C925A8B52C026E2ADF36F454440CD7344BE4B8B52C06F0C01C0B1454440D42CD0EE908B52C0984D8061F9454440132C0E677E8B52C05706D50627464440498446B0718B52C0AEF545425B464440444C89247A8B52C03F3BE0BA624644406FBBD05CA78B52C0EF586C938A464440E90FCD3CB98B52C06DDA8CD31047444024624A24D18B52C0DFA5D425E34644405E49F25CDF8B52C048111956F146444081D1E5CDE18B52C0166C239EEC464440EE409DF2E88B52C0C7832D76FB464440D07EA4880C8C52C0E25817B7D146444027F73B14058C52C061C5A9D6C2464440A4FB3905F98B52C043C362D4B5464440DE3312A1118C52C084B9DDCB7D464440D3A23EC91D8C52C0895FB1868B46444080EA1F44328C52C0CEA96400A8464440728C648F508C52C0BC033C69E1464440C22FF5F3A68C52C06C94F59B89474440103CBEBD6B8C52C05A626534F247444083143C855C8C52C033A5F5B704484440295E656D538C52C0A2B08BA20748444060217365508C52C036069D103A484440799109F8358C52C0E00F3FFF3D4844403012DA722E8C52C0D38558FD1148444055336B29208C52C0D55B035B2548444001DD9733DB8B52C0A8FE4124434844402CD505BCCC8B52C061F4DC4257484440C1525DC0CB8B52C087A6ECF483484440158DB5BFB38B52C0739F1C0588484440CF488446B08B52C03E07962364484440CC24EA059F8B52C07880272D5C48444026DF6C73638B52C0FF3F4E9830484440DEAAEB504D8B52C01762F547184844409E1D705D318B52C054ABAFAE0A484440565EF23FF98A52C060E5D022DB47444094BE1072DE8A52C0A7406667D1474440,10,Staten Island,2009,Arden Heights,1.5
9,0106000020E6100000010000000103000000010000003200000094BE1072DE8A52C0A7406667D1474440F2C64961DE8A52C08F183DB7D047444022895E46B18A52C07940D9942B464440D07CCEDDAE8A52C06B0DA5F622464440E2016553AE8A52C0191BBAD91F464440240B98C0AD8A52C0200C3CF71E464440777FBC57AD8A52C0C1374D9F1D46444006A1BC8FA38A52C0E658DE550F464440378AAC35948A52C0438CD7BCAA4544408DB3E908E08A52C06C09F9A067454440D90A9A96588B52C0459E245D3345444049641F64598B52C0514CDE003345444096CD1C925A8B52C026E2ADF36F454440CD7344BE4B8B52C06F0C01C0B1454440D42CD0EE908B52C0984D8061F9454440132C0E677E8B52C05706D50627464440498446B0718B52C0AEF545425B464440444C89247A8B52C03F3BE0BA624644406FBBD05CA78B52C0EF586C938A464440E90FCD3CB98B52C06DDA8CD31047444024624A24D18B52C0DFA5D425E34644405E49F25CDF8B52C048111956F146444081D1E5CDE18B52C0166C239EEC464440EE409DF2E88B52C0C7832D76FB464440D07EA4880C8C52C0E25817B7D146444027F73B14058C52C061C5A9D6C2464440A4FB3905F98B52C043C362D4B5464440DE3312A1118C52C084B9DDCB7D464440D3A23EC91D8C52C0895FB1868B46444080EA1F44328C52C0CEA96400A8464440728C648F508C52C0BC033C69E1464440C22FF5F3A68C52C06C94F59B89474440103CBEBD6B8C52C05A626534F247444083143C855C8C52C033A5F5B704484440295E656D538C52C0A2B08BA20748444060217365508C52C036069D103A484440799109F8358C52C0E00F3FFF3D4844403012DA722E8C52C0D38558FD1148444055336B29208C52C0D55B035B2548444001DD9733DB8B52C0A8FE4124434844402CD505BCCC8B52C061F4DC4257484440C1525DC0CB8B52C087A6ECF483484440158DB5BFB38B52C0739F1C0588484440CF488446B08B52C03E07962364484440CC24EA059F8B52C07880272D5C48444026DF6C73638B52C0FF3F4E9830484440DEAAEB504D8B52C01762F547184844409E1D705D318B52C054ABAFAE0A484440565EF23FF98A52C060E5D022DB47444094BE1072DE8A52C0A7406667D1474440,3,Staten Island,2015,Arden Heights,5
10,0106000020E610000001000000010300000001000000180000007DE6AC4F398A52C0990CC7F319524440FF428F183D8A52C034130CE71A524440E316F373438A52C043E21E4B1F5244408FBFB4A84F8A52C0CE3637A6275244405473B9C1508A52C0CB660E492D5244409AD18F86538A52C0BEF8A23D5E5244402EE7525C558A52C0B70DA320785244402EE7525C558A52C0F8FC304278524440444AB3791C8A52C08E91EC116A524440E993DC61138A52C09835B1C057524440BF982D59158A52C0D49B51F355524440F8E0B54B1B8A52C089CE328B50524440975643E21E8A52C0492A53CC415244409031772D218A52C0514F1F813F524440A7255646238A52C03927F6D03E52444005FA449E248A52C0F73768AF3E524440F931E6AE258A52C06ADFDC5F3D5244408D7BF31B268A52C041800C1D3B524440A4897780278A52C05587DC0C37524440EB1B98DC288A52C05AF3E32F2D524440AECF9CF5298A52C0F274AE28255244407C613255308A52C03CBD529621524440A949F086348A52C0D40AD3F71A5244407DE6AC4F398A52C0990CC7F319524440,1,Staten Island,2009,Arlington,0
