borough,neighborhood,familysize,price,year
Queens,Astoria,1,45000,1974
Queens,Astoria,1,42000,1975
Queens,Astoria,1,44500,1976
Queens,Astoria,1,45000,1977
Queens,Astoria,1,46000,1978
Queens,Astoria,1,53000,1979
Queens,Astoria,1,55000,1980
Queens,Astoria,1,62750,1981
Queens,Astoria,1,71000,1982
Queens,Astoria,1,85000,1983
Queens,Astoria,1,105000,1984
Queens,Astoria,1,146000,1985
Queens,Astoria,1,191000,1986
Queens,Astoria,1,220000,1987
Queens,Astoria,1,235000,1988
Queens,Astoria,1,217500,1989
Queens,Astoria,4-Feb,111666.6667,1998
Queens,Astoria,4-Feb,117500,1999
Queens,Astoria,4-Feb,139000,2000
Queens,Astoria,4-Feb,158416.6667,2001
Queens,Astoria,4-Feb,175000,2002
Queens,Astoria,4-Feb,211666.6667,2003
Queens,Astoria,1,210500,1990
Queens,Astoria,1,180000,1991
Queens,Astoria,1,184000,1992
Queens,Astoria,1,194000,1993
Queens,Astoria,1,181500,1994
Queens,Astoria,1,175000,1995
Queens,Astoria,1,180000,1996
Queens,Astoria,1,181500,1997
Queens,Astoria,1,196250,1998
Queens,Astoria,1,215000,1999
Queens,Astoria,1,250000,2000
Queens,Astoria,1,275000,2001
Queens,Astoria,1,330000,2002
Queens,Astoria,1,390000,2003
Queens,Astoria,1,463000,2004
Queens,Astoria,1,530000,2005
Queens,Astoria,condo,44850,1984
Queens,Astoria,condo,57082,1985
Queens,Astoria,condo,105000,1986
Queens,Astoria,condo,115000,1987
Queens,Astoria,condo,105000,1988
Queens,Astoria,condo,110972,1989
Queens,Astoria,5+,36758.33333,1994
Queens,Astoria,5+,45000,1993
Queens,Astoria,5+,37500,1992
Queens,Astoria,5+,50000,1991
Queens,Astoria,5+,140833.3333,2008
Queens,Astoria,5+,143333.3333,2009
Queens,Astoria,5+,145833.3333,2010
Queens,Astoria,5+,148058.3333,2011
Queens,Astoria,4-Feb,27000,1975
Queens,Astoria,4-Feb,27500,1976
Queens,Astoria,5+,50000,1990
Queens,Astoria,4-Feb,27500,1977
Queens,Astoria,4-Feb,29000,1978
Queens,Astoria,4-Feb,28625,1979
Queens,Astoria,4-Feb,31000,1980
Queens,Astoria,4-Feb,34000,1981
Queens,Astoria,4-Feb,38500,1982
Queens,Astoria,4-Feb,45000,1983
Queens,Astoria,5+,52083.33333,1989
Queens,Astoria,5+,49416.66667,1988
Queens,Astoria,5+,50000,1987
Queens,Astoria,5+,37500,1986
Queens,Astoria,5+,25400,1985
Queens,Astoria,5+,19444.44444,1984
Queens,Astoria,5+,14583.33333,1983
Queens,Astoria,5+,11666.66667,1982
Queens,Astoria,5+,11583.33333,1981
Queens,Astoria,5+,11000,1980
Queens,Astoria,5+,9250,1979
Queens,Astoria,5+,10634.90361,1978
Queens,Astoria,5+,10645.83333,1977
